,enzyme_name,mole_name,reac_value,in_mvec
1236,YLR020C,epistest_SC_e,-0.01,False
1254,YLR056W,ergtrol_c,1.0,False
1266,YLR100W,zymst_c,1.0,False
1267,YLR100W,zym_int2_c,-1.0,False
1268,YLR100W,4mzym_int2_c,-1.0,False
1293,YLR189C,ergst3glc_c,1.0,False
1295,YLR195C,tglp_c,1.0,False
1297,YLR195C,glp_c,-1.0,False
1355,YLR382C,trnaleu_m,-1.0,False
1357,YLR382C,leutrna_m,1.0,False
1368,YML008C,zymst_c,-1.0,False
1383,YML059C,pc_SC_c,-0.005,False
1384,YML059C,ocdcya_c,0.09,False
1466,YMR272C,cer3_26_c,1.0,False
1467,YMR272C,cer3_24_c,1.0,False
1489,YNL073W,trnalys_m,-1.0,False
1491,YNL073W,lystrna_m,1.0,False
1510,YNL169C,ps_SC_m,-0.01,False
1511,YNL169C,pe_SC_m,0.01,False
1518,YNL247W,trnacys_c,-1.0,False
1519,YNL247W,cystrna_c,1.0,False
1535,YNL267W,ptd4ino_SC_n,0.01,False
1536,YNL267W,ptd1ino_SC_n,-0.01,False
1540,YNL280C,44mzym_c,1.0,False
1541,YNL280C,44mctr_c,-1.0,False
1544,YNR008W,triglyc_SC_c,1.0,False
1545,YNR008W,pc_SC_c,-1.0,False
1546,YNR008W,1agpc_SC_c,1.0,False
1547,YNR008W,12dgr_SC_c,-1.0,False
1573,YOL033W,trnaglu_m,-1.0,False
1575,YOL033W,glutrna_m,1.0,False
1592,YOL066C,25dthpp_c,-1.0,False
1593,YOL097C,trptrna_c,1.0,False
1595,YOL097C,trnatrp_c,-1.0,False
1625,YOR126C,aces_c,-1.0,False
1639,YOR163W,ppmi1346p_c,-1.0,False
1640,YOR163W,ppmi12346p_c,-1.0,False
1643,YOR168W,trnagln_c,-1.0,False
1644,YOR168W,glntrna_c,1.0,False
1672,YOR335C,trnaala_c,-1.0,False
1673,YOR335C,alatrna_c,1.0,False
1690,YPL040C,trnaile_m,-1.0,False
1692,YPL040C,iletrna_m,1.0,False
1716,YPL097W,tyrtrna_m,1.0,False
1718,YPL097W,trnatyr_m,-1.0,False
1722,YPL104W,trnaasp_m,-1.0,False
1725,YPL104W,asptrna_m,1.0,False
1739,YPL160W,trnaleu_c,-1.0,False
1740,YPL160W,leutrna_c,1.0,False
1754,YPL268W,ptd145bp_SC_c,-0.01,False
1756,YPL268W,12dgr_SC_c,0.01,False
1776,YPR033C,trnahis_m,-1.0,False
1777,YPR033C,trnahis_c,-1.0,False
1779,YPR033C,histrna_m,1.0,False
1780,YPR033C,histrna_c,1.0,False
1788,YPR047W,trnaphe_m,-1.0,False
1790,YPR047W,phetrna_m,1.0,False
1803,YPR113W,ptd1ino_SC_c,0.01,False
1805,YPR113W,cdpdag_SC_c,-0.01,False
1813,YPR140W,pc_SC_c,0.01,False
1814,YPR140W,odecoa_c,-0.24,False
1815,YPR140W,ocdycacoa_c,-0.09,False
1819,YPR140W,1agpc_SC_c,-0.01,False
1820,YPR160W,glycogen_c,-1.0,False
1825,YPR184W,glycogen_c,-1.0,False
22,BSU00380,trnamet_c,-1.0,False
46,BSU00730,trdox_c,1.0,False
47,BSU00730,trdrd_c,-1.0,False
69,BSU00920,glutrna_c,1.0,False
70,BSU00920,trnaglu_c,-1.0,False
99,BSU02270,cdpdag_BS_c,-0.01,False
100,BSU02270,ps_BS_c,0.01,False
102,BSU02290,ps_BS_c,-0.01,False
103,BSU02290,psetha_BS_c,0.01,False
117,BSU03040,dextrin_e,1.0,False
118,BSU03040,starch_e,-1.0,False
160,BSU04620,apoACP_c,-1.0,False
330,BSU09540,12dag3p_BS_c,0.01,False
331,BSU09540,1ag3p_BS_c,-0.01,False
332,BSU09540,fa11coa_c,-0.07,False
333,BSU09540,fa12coa_c,-0.17,False
334,BSU09540,fa1coa_c,-0.01,False
335,BSU09540,fa3coa_c,-0.2,False
336,BSU09540,fa4coa_c,-0.34,False
337,BSU09540,fa6coa_c,-0.05,False
535,BSU15570,trdox_c,1.0,False
536,BSU15570,trdrd_c,-1.0,False
540,BSU15570,trdox_c,1.0,False
541,BSU15570,trdrd_c,-1.0,False
573,BSU16530,tcggrpp_c,-1.0,False
574,BSU16540,12dag3p_BS_c,-0.01,False
575,BSU16540,cdpdag_BS_c,0.01,False
585,BSU16920,cdpdag_BS_c,-0.01,False
587,BSU16920,pglyp_BS_c,0.01,False
624,BSU19230,apoACP_c,1.0,False
642,BSU21680,metox__R_c,-1.0,False
643,BSU21680,trdox_c,1.0,False
644,BSU21680,trdrd_c,-1.0,False
647,BSU21680,metox__R_c,1.0,False
650,BSU21690,trdox_c,1.0,False
